,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
64,47,2,21906,12,14,4,9,1,4,0,0,0,25,38
65,38,2,22042,8,11,4,9,1,4,0,0,0,39,38
66,35,2,22055,15,10,2,9,0,0,1,0,0,60,38
67,53,2,22154,15,10,2,2,0,4,1,0,0,40,38
68,41,1,22155,12,14,0,9,4,4,0,0,0,60,38
69,64,2,22186,15,10,6,12,1,4,0,0,0,35,38
70,31,2,22201,11,9,2,0,0,0,1,0,0,40,38
71,37,0,22201,9,13,2,0,0,1,1,7298,0,40,29
72,24,2,22201,11,9,2,10,0,1,1,0,0,40,36
73,41,2,22201,9,13,2,3,0,1,1,0,0,40,23
74,51,2,22211,12,14,2,9,0,4,1,0,1902,60,38
75,50,2,22211,12,14,2,9,0,4,1,7688,0,50,38
76,38,2,22245,11,9,2,3,0,4,1,0,0,60,38
77,39,2,22245,9,13,2,9,1,4,1,0,0,60,38
78,38,5,22245,10,16,2,9,0,4,1,0,0,45,38
79,38,2,22245,15,10,0,3,1,4,1,0,0,50,38
80,38,2,22245,8,11,2,2,0,4,1,0,0,40,38
81,66,2,22313,1,7,2,2,0,4,1,0,0,20,38
82,26,2,22328,9,13,2,11,0,4,1,0,0,40,38
83,50,2,22418,6,5,0,13,1,4,1,0,0,50,38
84,53,2,22418,11,9,2,2,0,4,1,0,0,40,38
85,28,2,22422,11,9,4,13,4,4,1,0,0,55,38
86,28,2,22422,11,9,4,3,1,4,1,0,0,40,38
87,52,0,22428,9,13,2,10,0,4,1,0,0,60,38
88,37,2,22463,8,11,2,2,0,4,1,0,1977,40,38
89,35,2,22463,11,9,2,2,0,4,1,0,0,40,38
90,38,2,22494,15,10,0,0,1,4,0,7443,0,40,38
91,36,2,22494,15,10,0,3,4,4,0,0,0,40,38
92,39,2,22494,9,13,4,3,1,4,0,0,0,40,38
93,25,2,22546,9,13,4,13,3,4,1,0,0,60,38
94,29,2,22641,11,9,2,6,0,0,1,0,0,45,38
95,34,1,22641,11,9,4,10,1,0,1,0,0,40,38
96,35,4,22641,11,9,2,13,0,0,1,0,0,40,38
97,54,2,22743,15,10,2,13,0,4,1,15024,0,60,38
98,42,2,22831,11,9,4,7,1,4,0,0,0,40,38
99,47,2,22900,11,9,0,7,1,4,0,0,0,40,38
100,65,4,22907,5,4,2,4,0,4,1,0,0,40,38
101,22,5,22966,15,10,3,12,4,4,1,0,0,20,38
102,20,2,22966,15,10,4,7,3,4,1,0,0,12,1
103,24,2,22966,9,13,2,11,0,4,1,0,0,45,38
104,53,2,22978,12,14,2,3,5,4,0,0,0,50,38
105,30,5,23037,15,10,4,7,3,0,1,0,0,84,38
106,23,2,23037,2,8,4,5,3,0,1,0,0,40,38
107,49,2,23074,15,10,6,3,1,4,0,0,0,40,38
108,43,5,23157,11,9,4,13,1,4,1,0,0,60,38
109,28,2,23324,15,10,4,5,1,4,1,0,0,40,38
110,24,2,23438,8,11,4,0,1,4,1,0,0,30,38
111,23,1,23438,11,9,4,9,1,4,0,0,0,40,38
112,24,2,23438,11,9,2,2,0,4,1,0,0,40,38
113,65,0,23494,15,10,2,3,0,2,1,0,2174,40,38
114,42,3,23510,12,14,0,3,4,1,1,0,2201,60,18
115,47,2,23545,15,10,2,5,0,4,1,0,0,40,38
116,65,2,23580,9,13,0,0,1,4,0,0,0,40,38
117,35,2,23621,11,9,4,2,1,4,1,0,0,70,38
118,41,2,23646,12,14,4,9,1,4,0,0,0,40,38
119,50,2,23686,15,10,2,0,2,4,0,0,0,35,38
120,53,2,23698,11,9,2,2,0,4,1,0,0,46,38
121,27,5,23740,11,9,4,13,1,0,1,0,0,38,38
122,49,2,23776,15,10,2,0,0,4,1,0,0,40,38
123,30,2,23778,5,4,5,5,1,4,1,0,0,40,38
124,34,3,23778,9,13,0,3,1,4,1,0,0,50,38
125,52,0,23780,15,10,0,0,1,4,1,0,0,40,38
126,52,2,23780,8,11,2,3,0,4,1,0,1977,45,38
127,55,2,23789,11,9,0,3,1,4,0,0,0,40,38
128,59,0,23789,11,9,2,11,5,4,0,0,0,40,38
129,42,3,23813,15,10,2,9,0,0,1,2885,0,30,38
130,33,2,23871,7,12,0,9,4,4,0,0,0,32,38
131,33,2,23871,11,9,0,7,4,4,0,0,0,30,38
132,35,0,23892,11,9,0,9,4,4,0,0,0,40,38
133,38,2,23892,11,9,2,6,5,4,0,0,0,40,38
134,27,2,23940,11,9,4,5,2,0,1,0,0,40,38
135,22,2,24008,11,9,4,0,1,4,1,0,0,40,38
136,20,2,24008,15,10,4,5,1,4,1,0,0,24,38
137,21,5,24008,15,10,4,2,3,4,1,0,0,35,38
138,50,2,24013,15,10,2,3,0,4,1,0,0,84,38
139,61,4,24046,11,9,6,7,2,4,0,0,0,40,38
140,62,3,24050,11,9,6,11,1,4,0,0,0,15,38
141,17,2,24090,11,9,4,3,3,4,0,0,0,35,38
142,36,2,24106,11,9,2,2,0,4,1,3103,0,40,38
143,37,4,24106,11,9,2,12,0,4,1,0,0,30,38
144,39,2,24106,15,10,2,11,0,4,1,0,0,40,29
145,35,2,24106,15,10,2,3,0,4,1,0,0,40,38
146,54,2,24108,15,10,5,3,1,4,0,0,0,40,38
147,56,3,24127,8,11,2,11,0,4,1,0,0,54,38
148,50,1,24139,12,14,0,9,4,4,0,0,0,65,38
149,29,2,24153,15,10,2,7,5,0,0,0,0,40,38
150,28,0,24153,0,6,2,7,5,0,0,0,0,40,38
151,51,2,24185,9,13,2,2,0,4,1,0,0,40,38
152,50,5,24185,9,13,2,3,0,4,1,0,0,38,38
153,24,2,24243,11,9,4,2,1,4,1,0,1590,40,38
154,42,5,24264,15,10,0,13,4,4,1,0,0,38,38
155,34,2,24266,8,11,2,2,0,4,1,7688,0,40,38
156,30,2,24292,9,13,2,11,0,4,1,0,0,45,38
157,39,2,24342,9,13,2,9,0,4,1,0,0,40,38
158,37,5,24342,15,10,2,3,0,4,1,0,0,38,38
159,51,2,24344,7,12,4,0,1,4,0,0,0,40,38
160,42,2,24364,15,10,2,7,5,2,0,0,0,30,38
161,57,2,24384,5,4,6,7,1,4,0,0,0,10,38
162,59,2,24384,11,9,6,8,1,4,0,0,0,40,38
163,23,2,24395,11,9,4,5,3,4,0,0,0,30,38
164,22,5,24395,15,10,2,0,5,4,0,0,0,20,38
165,57,4,24473,8,11,2,2,0,4,1,0,0,40,38
166,33,4,24504,11,9,5,2,2,4,1,0,0,50,38
167,33,4,24504,15,10,2,2,0,4,1,0,0,60,38
168,62,2,24515,6,5,2,3,0,4,1,0,0,40,38
169,34,2,24529,11,9,6,0,4,4,1,0,0,15,38
170,29,2,24562,9,13,0,7,4,3,0,0,0,40,38
171,50,5,24647,15,10,2,0,0,4,1,0,0,40,38
172,55,2,24694,15,10,0,9,1,4,0,0,0,40,38
173,49,2,24712,9,13,4,7,1,1,0,0,0,35,29
174,39,5,24721,15,10,0,0,4,4,0,0,0,35,38
175,47,2,24723,0,6,0,3,1,0,0,0,0,45,38
176,46,2,24728,11,9,4,2,1,4,0,0,0,48,38
177,40,1,24763,15,10,0,13,4,4,1,6849,0,40,38
178,42,4,24763,10,16,2,9,0,4,1,15024,0,40,38
179,41,2,24763,11,9,0,13,4,4,1,7443,0,40,38
180,43,5,24763,12,14,2,9,0,4,1,0,1887,45,38
181,50,5,24790,11,9,2,5,0,4,1,0,0,40,38
182,51,4,24790,15,10,2,3,0,4,1,0,0,99,38
183,65,1,24824,11,9,2,2,0,4,1,0,0,40,38
184,60,2,24872,15,10,5,13,1,0,0,0,0,30,38
185,22,2,24896,11,9,0,12,4,4,0,0,0,30,10
186,20,2,24896,11,9,2,0,5,4,0,0,0,20,38
187,34,4,24961,11,9,2,4,0,4,1,0,0,80,38
188,32,2,24961,8,11,2,12,0,4,1,0,0,40,38
189,20,2,24967,11,9,4,4,3,4,1,0,0,47,38
190,44,1,24982,15,10,2,3,0,4,1,0,0,40,38
191,42,2,24982,15,10,2,2,0,4,1,7688,0,40,38
192,40,2,25005,9,13,2,9,0,4,1,15024,0,99,38
193,43,0,25005,12,14,2,5,0,4,1,5013,0,12,38
194,51,2,25031,15,10,2,3,5,4,0,0,0,10,38
195,57,5,25045,9,13,0,0,4,4,1,2174,0,37,38
196,17,2,25051,0,6,4,7,3,4,1,0,0,16,38
197,57,4,25124,11,9,2,7,0,4,1,0,0,60,38
198,60,2,25141,15,10,2,13,0,4,1,0,0,60,38
199,31,2,25216,9,13,0,3,4,4,0,0,0,40,38
200,42,0,25240,8,11,0,9,4,0,0,0,0,40,38
201,25,2,25249,15,10,4,0,1,4,0,0,0,40,38
202,21,2,25265,11,9,4,2,3,4,1,0,0,40,38
203,21,2,25265,8,11,4,6,1,4,1,0,0,30,38
204,76,0,25319,12,14,6,9,1,4,0,0,0,15,38
205,25,2,25386,8,11,4,7,4,0,0,0,0,40,38
206,19,2,25429,15,10,4,0,3,4,0,0,0,16,38
207,19,2,25429,15,10,4,11,1,4,0,0,0,25,38
208,19,2,25429,2,8,4,7,3,4,0,0,0,20,38
209,48,2,25468,12,14,0,3,1,4,1,99999,0,50,38
210,25,2,25497,9,13,2,9,0,4,1,0,0,40,38
211,21,2,25505,8,11,4,0,4,2,0,0,0,35,38
212,33,2,25610,7,12,2,11,0,3,1,0,0,40,23
213,21,4,25631,15,10,4,4,3,4,1,0,0,40,38
214,45,2,25649,15,10,2,13,0,4,1,7298,0,50,38
215,28,2,25684,11,9,4,9,1,0,0,0,0,40,38
216,17,2,25690,0,6,4,7,3,4,0,0,0,10,38
217,39,2,25803,15,10,2,11,0,4,1,0,0,55,38
218,35,2,25803,11,9,2,2,0,4,1,0,0,40,38
219,60,4,25825,11,9,0,2,1,4,1,0,0,50,38
220,52,2,25826,0,6,2,2,0,4,1,0,1887,47,38
221,18,2,25828,1,7,4,5,3,4,1,0,0,16,38
222,18,2,25837,1,7,4,9,3,4,1,0,0,15,38
223,18,2,25837,11,9,4,7,1,4,1,0,0,25,38
224,28,1,25864,11,9,4,3,4,0,0,0,0,35,38
225,37,2,25864,11,9,5,9,4,0,0,0,0,40,38
226,51,4,25932,11,9,2,4,0,4,1,0,0,60,38
227,35,2,25955,1,7,4,7,4,0,1,0,0,40,38
228,28,2,25955,8,11,0,2,1,0,1,0,0,40,38
229,28,2,25955,15,10,4,2,3,0,1,0,0,40,38
230,31,2,25955,6,5,4,2,3,0,1,0,0,35,38
231,30,2,26009,11,9,2,9,0,4,1,0,0,35,38
232,71,5,26109,14,15,2,7,0,4,1,0,0,28,38
233,48,3,26145,0,6,2,4,0,4,1,0,0,80,38
234,47,4,26145,8,11,2,11,0,4,1,0,0,40,38
235,23,2,26248,11,9,4,0,3,4,0,0,0,40,38
236,73,2,26248,5,4,2,11,0,4,1,0,0,30,38
237,61,2,26254,11,9,0,3,1,4,0,0,0,40,38
238,55,5,26290,8,11,6,3,1,0,0,0,0,38,38
239,40,0,26358,7,12,4,0,1,4,0,0,0,40,38
240,31,5,26401,12,14,0,0,1,4,0,0,0,25,38
241,21,2,26410,11,9,4,0,1,4,0,0,0,40,38
242,29,2,26451,11,9,2,5,0,0,1,0,0,40,38
243,48,2,26490,9,13,6,7,4,4,0,0,0,20,38
244,45,2,26502,9,13,2,2,0,4,1,0,0,72,38
245,49,3,26502,9,13,0,9,4,4,1,6497,0,45,38
246,45,2,26522,15,10,2,0,5,4,0,0,1902,35,38
247,33,0,26543,8,11,2,12,0,4,1,0,0,40,38
248,30,2,26543,9,13,0,7,1,4,1,0,0,40,38
249,40,5,26598,9,13,0,9,1,4,1,0,0,40,38
250,41,4,26598,11,9,0,2,1,4,1,0,0,40,38
251,44,4,26669,7,12,2,7,5,4,0,0,0,99,38
252,41,1,26669,15,10,0,3,1,4,0,0,0,40,38
253,42,2,26672,8,11,4,0,1,4,0,0,0,60,38
254,55,4,26683,11,9,2,4,0,4,1,0,0,60,38
255,37,3,26698,15,10,2,11,0,4,1,0,1485,44,38
256,38,2,26698,11,9,2,12,0,4,1,0,0,40,38
257,55,2,26716,0,6,4,13,1,4,1,0,0,60,38
258,56,4,26716,9,13,2,3,0,4,1,0,0,20,38
259,60,2,26721,15,10,2,2,0,4,1,0,0,40,38
260,60,2,26756,11,9,6,11,1,4,0,0,0,50,38
261,45,2,26781,11,9,2,9,0,0,1,0,0,8,38
262,45,2,26781,11,9,2,4,0,0,1,0,0,40,38
263,45,4,26781,15,10,2,3,0,0,1,0,0,40,38
264,46,2,26781,11,9,2,2,0,0,1,0,0,40,38
265,32,2,26803,15,10,2,6,0,4,1,0,0,84,38
266,51,1,26832,11,9,2,2,0,4,1,0,0,40,38
267,21,2,26842,15,10,4,11,1,4,0,0,0,20,38
268,20,2,26842,15,10,4,6,1,4,0,2176,0,40,38
269,62,4,26857,5,4,6,4,2,4,0,0,0,35,38
270,80,4,26865,5,4,4,4,4,4,1,0,0,20,38
271,40,0,26880,15,10,4,0,4,4,0,0,0,40,38
272,41,5,26892,9,13,4,0,1,4,1,0,0,40,38
273,40,2,26892,9,13,2,0,0,4,1,0,0,40,38
274,40,4,26892,9,13,1,9,0,4,1,7298,0,50,38
275,37,2,26898,11,9,0,3,4,4,0,0,0,12,38
276,63,4,26904,11,9,2,4,0,4,1,0,0,98,38
277,62,4,26911,5,4,6,7,1,4,0,0,0,66,38
278,43,2,26915,8,11,2,3,0,4,1,0,0,45,38
279,40,1,26929,12,14,4,9,1,4,0,0,0,40,38
280,47,2,26950,12,14,0,11,1,4,0,0,0,6,38
281,62,2,26966,15,10,6,0,1,4,0,0,0,40,38
282,33,2,26973,8,11,2,12,5,4,0,0,0,40,38
283,35,2,26987,11,9,5,0,1,4,0,0,0,40,38
284,38,2,26987,11,9,0,7,4,4,0,0,0,40,38
285,47,2,26994,15,10,0,0,1,4,0,0,0,35,38
286,35,2,26999,9,13,5,3,4,4,0,0,0,42,38
287,65,6,27012,5,4,6,4,4,4,0,0,0,50,38
288,17,2,27032,0,6,4,11,3,4,0,0,0,12,38
289,60,5,27037,11,9,2,10,0,0,1,0,0,40,38
290,28,2,27044,7,12,0,3,1,4,0,0,0,43,38
291,20,2,27049,15,10,4,3,3,4,0,0,0,20,38
292,21,2,27049,15,10,4,11,3,4,0,0,0,20,38
293,21,2,27049,15,10,4,0,3,4,0,0,0,12,38
294,21,2,27049,11,9,4,8,1,4,0,0,0,25,38
295,32,2,27051,9,13,2,0,0,4,1,0,0,44,38
296,30,1,27051,15,10,4,5,3,4,1,0,0,40,38
297,36,4,27053,11,9,5,7,4,4,0,0,0,40,38
298,47,0,27067,11,9,0,0,1,4,0,0,0,40,38
299,25,0,27142,15,10,2,3,0,4,1,0,0,40,38
300,34,2,27153,11,9,2,13,0,4,1,0,0,40,38
301,30,2,27153,11,9,4,5,1,4,1,0,0,50,38
302,21,2,27162,15,10,4,7,3,4,0,0,0,16,38
303,51,0,27166,11,9,2,12,0,4,1,0,0,40,38
304,42,3,27187,12,14,2,4,0,4,1,0,0,60,38
305,30,2,27207,1,7,2,2,0,4,1,0,0,45,38
306,32,2,27207,0,6,4,2,1,4,1,0,0,50,38
307,44,4,27242,15,10,4,4,3,4,1,0,0,60,38
308,40,4,27242,11,9,2,4,0,4,1,0,0,84,38
309,42,4,27242,1,7,2,4,0,4,1,0,0,60,38
310,43,4,27242,15,10,2,2,0,4,1,0,0,50,38
311,46,5,27243,10,16,2,9,0,4,1,7688,0,45,38
312,41,4,27305,11,9,2,4,0,4,1,7688,0,40,38
313,41,5,27305,12,14,2,9,0,4,1,0,0,40,38
314,45,2,27332,11,9,0,11,1,4,0,0,0,40,38
315,20,2,27337,11,9,4,5,3,0,1,0,0,48,38
316,34,2,27380,9,13,2,4,0,4,1,0,0,50,38
317,19,1,27382,15,10,4,0,3,4,1,0,0,40,38
318,58,2,27385,11,9,2,3,0,4,1,0,0,60,38
319,57,4,27385,9,13,2,11,0,4,1,0,0,10,38
320,36,3,27408,8,11,2,11,0,4,1,0,0,60,38
321,35,2,27408,11,9,2,11,0,4,1,0,0,50,38
322,35,2,27408,15,10,4,11,1,4,1,0,0,40,38
323,38,2,27408,11,9,0,2,4,4,1,0,0,50,38
324,34,2,27409,6,5,2,2,0,4,1,0,0,50,38
325,25,2,27411,9,13,0,11,1,4,0,0,0,40,38
326,17,2,27415,1,7,4,5,3,0,1,0,0,20,38
327,54,0,27432,11,9,2,0,0,4,1,0,0,40,38
328,19,0,27433,2,8,4,7,3,4,0,0,0,30,38
329,19,2,27433,1,7,4,5,1,4,1,0,0,40,38
330,42,2,27444,15,10,3,9,1,4,1,0,0,40,38
331,41,2,27444,15,10,2,0,0,4,1,0,0,46,38
332,40,1,27444,9,13,4,9,1,4,1,0,0,50,38
333,60,0,27466,15,10,6,3,1,4,0,0,0,40,8
334,50,2,27484,11,9,2,3,0,4,1,0,0,50,38
335,31,2,27494,15,10,2,11,0,1,1,0,0,50,35
336,34,2,27494,11,9,0,2,1,0,1,0,0,48,38
337,50,4,27539,15,10,2,4,0,4,1,7688,0,40,38
338,18,2,27620,11,9,4,0,1,4,0,0,0,25,38
339,47,2,27624,8,11,4,7,1,4,0,0,0,55,38
340,63,4,27653,11,9,2,4,0,4,1,0,0,35,38
341,42,4,27661,9,13,2,11,0,4,1,0,0,45,38
342,43,5,27661,12,14,4,9,1,4,1,0,0,45,38
343,46,2,27669,11,9,4,7,1,4,0,0,0,28,38
344,25,2,27678,15,10,2,7,5,4,0,0,0,60,38
345,35,1,27763,11,9,2,7,0,0,1,0,0,40,38
346,43,2,27766,9,13,5,3,4,4,1,0,0,60,38
347,23,2,27776,8,11,4,6,1,4,1,0,0,40,38
348,23,2,27776,15,10,2,13,0,4,1,0,0,24,38
349,23,2,27776,11,9,2,7,0,4,1,0,0,40,38
350,18,2,27780,11,9,4,11,3,4,0,0,0,25,38
351,46,2,27802,8,11,2,6,0,4,1,0,0,40,38
352,46,5,27802,7,12,2,12,0,4,1,0,0,38,38
353,47,2,27815,6,5,0,7,1,4,0,0,1719,30,38
354,42,4,27821,8,11,2,3,0,4,1,0,0,60,38
355,40,2,27821,8,11,2,13,0,4,1,2829,0,40,38
356,26,1,27834,9,13,4,10,1,4,1,0,0,40,38
357,31,2,27856,11,9,4,7,4,4,0,0,0,8,38
358,32,2,27856,15,10,4,0,1,4,0,0,0,40,38
359,32,2,27882,15,10,4,6,2,4,0,0,2205,40,14
360,60,2,27886,5,4,0,7,1,4,1,0,0,40,38
361,60,4,27886,15,10,2,3,0,4,1,0,0,40,38
362,18,2,27920,1,7,4,3,3,4,0,0,0,25,38
363,32,4,27939,15,10,2,11,0,0,1,0,0,60,38
364,28,2,27956,14,15,2,9,0,1,1,0,0,99,29
365,33,1,27959,11,9,4,7,4,0,1,0,0,40,38
366,38,2,27997,8,11,0,2,1,4,1,0,0,40,38
367,37,3,27997,11,9,4,13,1,4,1,0,0,50,38
368,25,2,28008,7,12,0,0,4,4,0,0,0,40,38
369,17,2,28031,6,5,4,7,3,4,1,0,0,16,38
370,45,2,28035,15,10,4,4,2,4,1,0,0,50,38
371,47,4,28035,15,10,2,4,0,4,1,0,0,86,38
372,47,2,28035,9,13,2,3,0,4,1,0,0,50,38
373,34,2,28053,9,13,3,0,1,4,0,0,0,25,38
374,66,4,28061,5,4,6,4,4,4,1,0,0,50,38
375,19,2,28119,15,10,4,7,3,4,0,0,0,4,38
376,45,2,28119,11,9,2,0,0,4,1,0,0,7,38
377,19,2,28145,11,9,4,7,3,4,0,0,0,52,38
378,55,1,28151,11,9,0,0,1,4,0,0,0,40,38
379,35,2,28160,9,13,3,3,4,4,0,0,0,40,38
380,54,4,28186,9,13,0,4,1,4,1,27828,0,50,38
381,46,2,28225,15,10,2,13,0,4,1,0,0,58,38
382,46,4,28281,9,13,2,4,0,4,1,0,0,40,38
383,61,2,28291,11,9,0,4,1,4,0,0,0,82,38
384,61,0,28291,9,13,2,3,5,4,0,0,0,40,38
385,49,2,28334,15,10,2,3,0,4,1,0,0,45,38
386,63,2,28334,12,14,0,3,1,4,0,0,0,40,38
387,46,2,28334,11,9,2,13,0,4,1,0,0,40,38
388,26,5,28366,9,13,4,9,1,4,1,0,0,40,38
389,66,2,28367,9,13,2,8,2,4,1,0,0,99,38
390,65,4,28367,11,9,2,11,0,4,1,0,0,55,38
391,61,1,28375,12,14,0,9,1,4,0,0,0,70,38
392,46,2,28419,8,11,4,13,1,4,1,0,0,50,38
393,46,2,28419,14,15,2,9,0,4,1,99999,0,50,38
394,26,2,28443,8,11,4,7,1,4,0,0,0,40,38
395,43,5,28451,9,13,2,9,0,4,1,0,0,37,38
396,25,2,28473,8,11,2,2,0,4,1,0,0,40,38
397,48,2,28497,11,9,2,2,0,4,1,0,0,40,38
398,45,4,28497,9,13,2,4,0,4,1,0,1485,70,38
399,54,2,28518,11,9,2,11,0,4,1,0,0,50,38
400,25,2,28520,11,9,4,7,1,4,0,0,0,40,38
401,34,4,28568,11,9,0,3,1,4,1,0,0,60,38
402,35,2,28572,15,10,2,2,0,4,1,4064,0,35,38
403,39,2,28572,11,9,0,7,1,4,1,0,0,40,38
404,39,2,28572,11,9,4,5,3,4,1,0,0,48,38
405,36,2,28572,15,10,2,2,0,4,1,0,0,50,38
406,63,4,28612,11,9,6,11,1,4,1,0,0,70,38
407,18,2,28648,1,7,4,7,2,4,0,0,0,40,38
408,54,2,28683,11,9,2,11,0,4,1,3464,0,40,38
409,56,2,28729,1,7,5,6,1,4,0,0,0,40,38
410,55,2,28735,11,9,0,0,4,0,0,0,0,45,38
411,36,4,28738,7,12,0,11,4,4,0,0,0,35,38
412,51,3,28765,14,15,2,9,0,4,1,0,0,60,38
413,19,2,28790,15,10,4,7,1,4,0,0,0,40,38
414,49,2,28791,15,10,0,7,1,4,0,0,0,40,38
415,48,4,28791,11,9,2,11,5,4,0,0,0,50,38
416,27,5,28848,9,13,4,9,1,4,1,0,0,9,38
417,63,1,28856,5,4,2,7,0,4,1,0,0,55,38
418,26,2,28856,9,13,4,12,1,4,0,0,0,40,38
419,38,2,28887,1,7,2,11,0,4,1,0,0,50,38
420,37,5,28887,11,9,2,6,0,4,1,0,0,40,38
421,50,2,28952,15,10,2,11,5,4,0,0,0,39,38
422,34,3,28984,8,11,0,11,4,4,0,0,0,40,38
423,36,2,28996,15,10,2,11,0,4,1,0,0,45,38
424,36,1,28996,11,9,2,13,0,4,1,0,0,40,38
425,25,2,29020,7,12,0,0,1,2,0,0,0,45,38
426,40,4,29036,15,10,4,6,1,4,1,0,0,35,38
427,37,0,29054,15,10,2,0,0,4,1,0,0,42,38
428,37,4,29054,8,11,4,4,3,4,1,0,0,84,38
429,37,4,29054,11,9,2,4,0,4,1,0,0,50,38
430,61,2,29059,11,9,0,11,4,4,0,0,2754,25,38
431,42,1,29075,7,12,2,9,5,0,0,0,0,40,38
432,19,2,29083,11,9,4,11,3,0,0,0,0,25,38
433,44,2,29115,15,10,4,7,1,4,0,0,0,40,38
434,37,5,29145,9,13,2,3,0,4,1,0,0,50,38
435,37,2,29145,8,11,4,7,1,4,1,0,0,40,38
436,35,2,29145,8,11,4,13,1,4,1,0,0,40,38
437,31,5,29152,2,8,2,7,5,4,0,0,0,40,38
438,27,1,29174,9,13,4,9,4,4,0,0,0,40,38
439,50,4,29231,11,9,2,3,0,4,1,0,0,45,38
440,32,1,29235,15,10,2,10,5,4,0,0,0,40,9
441,34,2,29235,7,12,0,9,1,4,0,0,0,40,38
442,30,2,29235,15,10,4,0,2,4,0,0,0,20,38
443,19,2,29250,15,10,4,9,3,4,1,0,0,10,38
444,34,4,29254,15,10,2,2,0,4,1,0,0,55,38
445,34,3,29254,15,10,2,2,0,4,1,0,0,70,38
